Probe;GeneSymbol;logFC(KOPT-K1);logFC(HPB_ALL)
1;200965_s_at;ABLIM1;-0.608073391723473;-0.822948997800417
2;201170_s_at;BHLHE40;-0.987796771200281;-1.04021302809344
3;201563_at;SORD;-0.56681636646557;-0.766345733288604
4;201797_s_at;VARS1;-0.530134587760391;-0.994921184509441
5;202464_s_at;PFKFB3;-0.733864815671286;-1.1937489675373
6;202472_at;MPI;-0.596719474930116;-0.783116947518495
7;202718_at;IGFBP2;-0.52815641892238;-0.818142589087008
8;202887_s_at;DDIT4;-1.03578241024596;-0.827160729432666
9;202934_at;HK2;-0.89271266145534;-1.03777138380786
10;203394_s_at;HES1;-0.800613990181791;-0.999397322530163
11;205544_s_at;CR2;-1.1036390570296;-0.85024237404556
12;207543_s_at;P4HA1;-0.587040126641432;-0.778378059235532
13;209933_s_at;CD300A;-0.936873281581093;-0.904991125471314
14;213746_s_at;FLNA;-0.677840678643098;-0.970567634462969
15;217078_s_at;CD300A;-1.27882977985049;-1.0719091808357
16;218984_at;PUS7;-0.581022794534399;-0.707687750120659
17;227336_at;DTX1;-1.02057988517253;-1.38414427795432
18;227347_x_at;HES4;-1.22186681485025;-1.26407118414642
19;240546_at;LINC01120;-0.518198957100523;-1.11311350204714
